bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.76911,True,10676,0.93288,0.41486,10,False,Cufflinks,30,75,0.98389,0.72373,True
True,0.67468,True,10436,0.97697,-1.94866,0,False,Cufflinks,30,100,0.97442,0.98692,True
True,0.76199,True,10567,0.93210,-0.27086,10,False,Cufflinks,30,100,0.97596,0.72353,True
True,0.91069,True,10525,0.97918,-33.78453,0,False,Salmon,30,50,0.96855,0.96640,True
True,0.92404,True,10545,0.90184,-30.10279,10,False,Salmon,30,50,0.98426,0.52743,True
True,0.90453,True,10653,0.98323,-31.96759,0,False,Salmon,30,75,0.97081,0.97442,True
True,0.91635,True,10676,0.90642,-27.88464,10,False,Salmon,30,75,0.98764,0.52635,True
True,0.87275,True,10436,0.98251,-27.07701,0,False,Salmon,30,100,0.97020,0.97937,True
True,0.92070,True,10567,0.89512,-24.90348,10,False,Salmon,30,100,0.98448,0.51208,True
True,0.35952,True,10525,0.99359,-4.40295,0,False,RSEM,30,50,0.98746,0.97445,True
True,0.82010,True,10545,0.91604,-7.95315,10,False,RSEM,30,50,0.99203,0.51269,True
True,0.42223,True,10653,0.99494,-5.00137,0,False,RSEM,30,75,0.98423,0.97791,True
True,0.80573,True,10676,0.92537,-8.45217,10,False,RSEM,30,75,0.99344,0.53868,True
True,0.65236,True,10436,0.99475,-11.84258,0,False,RSEM,30,100,0.97978,0.98373,True
True,0.92032,True,10567,0.92782,-21.85022,10,False,RSEM,30,100,0.98704,0.55068,True
True,0.64694,True,10525,0.99245,-5.89801,0,False,Kallisto,30,50,0.98736,0.96833,True
True,0.79147,True,10545,0.91869,-5.29949,10,False,Kallisto,30,50,0.99289,0.51398,True
True,0.65418,True,10653,0.99336,-6.38297,0,False,Kallisto,30,75,0.98357,0.97475,True
True,0.79599,True,10676,0.92109,-5.56192,10,False,Kallisto,30,75,0.99354,0.51260,True
True,0.65399,True,10436,0.99266,-8.04760,0,False,Kallisto,30,100,0.98007,0.98086,True
True,0.82180,True,10567,0.91086,-6.03503,10,False,Kallisto,30,100,0.98931,0.50108,True
True,0.78071,True,10525,0.98826,-19.04333,0,False,Express,30,50,0.94888,0.97864,True
True,0.86961,True,10545,0.89462,-10.79589,10,False,Express,30,50,0.98615,0.42943,True
True,0.76730,True,10653,0.98908,-17.91902,0,False,Express,30,75,0.94471,0.98019,True
True,0.86549,True,10676,0.89677,-10.56979,10,False,Express,30,75,0.98642,0.43306,True
True,0.75182,True,10436,0.98844,-16.48624,0,False,Express,30,100,0.94337,0.98352,True
True,0.85881,True,10567,0.89052,-7.82774,10,False,Express,30,100,0.98420,0.41805,True
True,0.71743,True,10525,0.98787,-11.19888,0,False,Sailfish,30,50,0.98413,0.96962,True
True,0.85633,True,10545,0.90444,-8.56612,10,False,Sailfish,30,50,0.99147,0.50377,True
